Frequency_Hz,PSD
90149902.34,3.262479898e-08
90153320.31,3.168775217e-08
90156738.28,3.137234714e-08
90160156.25,3.207394329e-08
90163574.22,3.23015234e-08
90166992.19,3.177221282e-08
90170410.16,3.098354202e-08
90173828.12,3.229516846e-08
90177246.09,3.191359461e-08
90180664.06,3.304679874e-08
90184082.03,3.543869122e-08
90187500,3.516480643e-08
90190917.97,3.42436739e-08
90194335.94,3.443364567e-08
90197753.91,3.359659643e-08
90201171.88,3.310583218e-08
90204589.84,3.411341451e-08
90208007.81,3.49671814e-08
90211425.78,3.550599179e-08
90214843.75,3.682261594e-08
90218261.72,3.698907775e-08
90221679.69,4.003953853e-08
90225097.66,4.073558332e-08
90228515.62,4.32991184e-08
90231933.59,4.631656681e-08
90235351.56,5.072851402e-08
90238769.53,5.712499365e-08
90242187.5,6.29387015e-08
90245605.47,7.18708622e-08
90249023.44,8.163070592e-08
90252441.41,9.919552383e-08
90255859.38,1.236802331e-07
90259277.34,1.448458108e-07
90262695.31,1.534683707e-07
90266113.28,1.747931457e-07
90269531.25,2.086327596e-07
90272949.22,2.363037578e-07
90276367.19,2.699351036e-07
90279785.16,3.043103557e-07
90283203.12,3.176032599e-07
